season,athlete_id,team_id,team_name,games_played,total_stints,on_sec,on_poss_for,on_poss_against,on_pts_scored,on_pts_allowed,on_plus_minus,total_on_shots,on_paint_fga,on_midrange_fga,on_three_fga,on_avg_shot_dist,on_opp_fgm,on_opp_fga,on_opp_2pm,on_opp_2pa,on_opp_3pm,on_opp_3pa,on_opp_paint_fga,on_opp_midrange_fga,on_opp_three_fga,on_opp_avg_shot_dist,on_off_rtg,on_def_rtg,on_net_rtg,on_min_est,on_paint_pct,on_midrange_pct,on_three_pct,on_opp_fg_pct,on_opp_2p_pct,on_opp_3p_pct,on_opp_efg_pct,on_opp_paint_pct,on_opp_midrange_pct,on_opp_three_pct,off_off_rtg,off_def_rtg,off_net_rtg,off_plus_minus,off_opp_fg_pct,off_opp_2p_pct,off_opp_3p_pct,off_opp_efg_pct,off_opp_paint_pct,off_opp_midrange_pct,off_opp_three_pct,off_opp_avg_shot_dist,net_rtg_diff,off_rtg_diff,def_rtg_diff,opp_fg_pct_allowed_diff,opp_efg_pct_allowed_diff,h1_off_rtg,h1_def_rtg,h1_net_rtg,h2_off_rtg,h2_def_rtg,h2_net_rtg,close_off_rtg,close_def_rtg,close_net_rtg,comp_off_rtg,comp_def_rtg,comp_net_rtg,blowout_off_rtg,blowout_def_rtg,blowout_net_rtg,q1_opp_off_rtg,q1_opp_def_rtg,q1_opp_net_rtg,q2_opp_off_rtg,q2_opp_def_rtg,q2_opp_net_rtg,n_lineups,top_lineup_min,top_lineup_net_rtg,athlete_display_name,team_location,athlete_position_abbreviation
2025,5178589,25,California,28,103,46658.0,1389.48,1382.2,1435.0,1239.0,196.0,1121,435,197,489,34.8201851852,479,1223,390,932,89,291,483,449,291,33.9711851852,103.2760457149,89.6397048184,13.6363408965,777.6333333333,0.3880463872,0.17573595,0.4362176628,0.3916598528,0.4184549356,0.3058419244,0.428045789,0.3949304988,0.3671300082,0.237939493,96.9174503657,89.8918116249,7.0256387408,32.0,0.380952381,0.3778801843,0.387755102,0.4412698413,0.3365079365,0.3523809524,0.3111111111,34.0207916667,6.6107021558,6.3585953492,-0.2521068065,0.0107074719,-0.0132240522,99.6538340501,85.4974885113,14.1563455389,107.682981303,94.5331734108,13.1498078923,102.2338867188,86.0184838267,16.2154028921,110.3309929789,97.8878458498,12.4431471291,99.4988917799,88.7984681666,10.7004236133,86.2141652614,103.0446951064,-16.8305298451,105.8373067476,93.1586608443,12.6786459033,39,430.9,19.4532609809,Lulu Twidale,California,G
2026,5178589,25,California,32,249,32685.0,921.6,913.24,909.0,789.0,120.0,755,336,124,295,36.1119708738,311,822,251,609,60,213,335,274,213,34.6379711538,98.6328125,86.3956900705,12.2371224295,544.75,0.4450331126,0.1642384106,0.3907284768,0.3783454988,0.4121510673,0.2816901408,0.4148418491,0.4075425791,0.3333333333,0.2591240876,99.9283667622,89.209249215,10.7191175472,29.0,0.4208144796,0.4484848485,0.3392857143,0.463800905,0.4705882353,0.2760180995,0.2533936652,35.5104565217,1.5180048823,-1.2955542622,-2.8135591444,-0.0424689809,-0.0489590558,92.570401438,86.3685866409,6.2018147971,114.5669291339,86.4667618594,28.1001672744,92.7427886311,86.3754889179,6.3672997132,100.1342582233,81.9112627986,18.2229954247,116.1202185792,90.7127429806,25.4074755987,,,,,,,108,55.0,16.2760416667,Lulu Twidale,California,G
