athlete_id,season,pbp_total_shots,avg_shot_distance,shot_distance_std,transition_shots,transition_shot_share,paint_fga,paint_fgm,paint_fg_pct,paint_pps,midrange_fga,midrange_fgm,midrange_fg_pct,midrange_pps,three_fga,three_fgm,three_fg_pct,three_pps,free_throw_fga,free_throw_fgm,free_throw_fg_pct,free_throw_pps,paint_share,midrange_share,three_share,free_throw_share,fg_made_total,assisted_fgm,unassisted_fgm,assisted_fg_rate,unassisted_fg_rate,pbp_assists,points_created_via_ast,own_fgm,ast_to_fg_ratio,first_half_fga,first_half_fgm,first_half_pts,first_half_games,first_half_fg_pct,first_half_efg,second_half_fga,second_half_fgm,second_half_pts,second_half_games,second_half_fg_pct,second_half_efg,clutch_fga,clutch_fgm,clutch_pts,clutch_games,clutch_fg_pct,clutch_efg,overtime_fga,overtime_fgm,overtime_pts,overtime_games,overtime_fg_pct,overtime_efg,clutch_shot_attempts,pbp_blocks,pbp_dreb,pbp_turnovers,pbp_oreb,pbp_steals,shot_creator_type,playmaking_style,second_half_boost,half_adjustment_label,athlete_display_name,team_location,athlete_position_abbreviation
5178589,2024,212.0,,,0.0,0.0,37.0,19.0,0.5135135135,1.027027027,15.0,5.0,0.3333333333,0.6666666667,131.0,34.0,0.2595419847,0.7786259542,29.0,23.0,0.7931034483,0.7931034483,0.1745283019,0.070754717,0.6179245283,0.1367924528,58.0,42.0,16.0,0.724137931,0.275862069,23.0,52.0,58.0,0.3965517241,103.0,36.0,85.0,28.0,0.3495145631,0.4417475728,104.0,43.0,82.0,24.0,0.4134615385,0.4759615385,3.0,2.0,6.0,1.0,,,2.0,0.0,0.0,1.0,,,3.0,0.0,28.0,24.0,14.0,20.0,Sniper,Off-Ball,0.0639469754,Closer,Lulu Twidale,California,G
5178589,2025,372.0,,,0.0,0.0,76.0,37.0,0.4868421053,0.9736842105,15.0,5.0,0.3333333333,0.6666666667,214.0,80.0,0.3738317757,1.1214953271,67.0,59.0,0.8805970149,0.8805970149,0.2043010753,0.0403225806,0.5752688172,0.1801075269,122.0,88.0,34.0,0.7213114754,0.2786885246,77.0,176.0,122.0,0.631147541,206.0,98.0,213.0,29.0,0.4757281553,0.5873786408,156.0,79.0,161.0,28.0,0.5064102564,0.608974359,10.0,4.0,9.0,5.0,0.4,0.5,0.0,0.0,0.0,,,,10.0,4.0,76.0,81.0,13.0,17.0,Sniper,Off-Ball,0.0306821011,Steady,Lulu Twidale,California,G
5178589,2026,527.0,24.4312796209,5.3549058746,0.0,0.0,118.0,65.0,0.5508474576,1.1016949153,17.0,2.0,0.1176470588,0.2352941176,284.0,93.0,0.3274647887,0.9823943662,108.0,94.0,0.8703703704,0.8703703704,0.2239089184,0.0322580645,0.5388994307,0.2049335863,160.0,94.0,66.0,0.5875,0.4125,114.0,267.0,160.0,0.7125,231.0,103.0,228.0,32.0,0.4458874459,0.5432900433,258.0,134.0,243.0,32.0,0.519379845,0.5949612403,25.0,10.0,20.0,12.0,0.4,0.5,13.0,7.0,16.0,2.0,0.5384615385,0.6923076923,25.0,0.0,106.0,98.0,16.0,25.0,Sniper,Scoring Playmaker,0.0734923991,Closer,Lulu Twidale,California,G
